CustomerID,Date,LoB,Channel,Product,SalesQty,SalesAmount,CustomerSegment,CostPerUnit,TotalCost
C076,2023-09-16,Insurance,Agent,TravelCare,13,40963,SME,758,9854
C064,2023-08-23,Investment,Branch,GrowthFund,15,26520,Individual,1077,16155
C179,2024-02-13,Insurance,Branch,TravelCare,9,21015,SME,758,6822
C176,2023-08-28,Insurance,Online,LifeSecure,17,16524,Corporate,1362,23154
C263,2025-06-04,Insurance,Online,TravelCare,1,1559,SME,758,758
C059,2023-03-03,Insurance,Online,LifeSecure,1,1354,SME,1362,1362
C141,2024-06-17,Investment,Online,EquityMax,1,1370,Corporate,1113,1113
C236,2025-03-14,Banking,Agent,CreditLine,12,39108,SME,1340,16080
C259,2025-04-17,Investment,Online,BondSafe,9,12231,Individual,758,6822
C281,2025-05-30,Investment,Online,BondSafe,16,28304,SME,758,12128
C028,2023-02-24,Insurance,Agent,TravelCare,11,19250,Corporate,758,8338
C114,2025-03-04,Insurance,Online,HealthPlus,17,47277,Corporate,1493,25381
C127,2023-04-08,Insurance,Online,HealthPlus,14,54726,Individual,1493,20902
C186,2025-01-28,Investment,Branch,EquityMax,18,53514,SME,1113,20034
C133,2024-11-19,Investment,Agent,GrowthFund,16,57792,SME,1077,17232
C046,2025-01-23,Investment,Agent,BondSafe,4,5492,Individual,758,3032
C261,2024-08-28,Banking,Agent,CreditLine,8,13208,SME,1340,10720
C246,2023-03-09,Banking,Branch,SavingsPro,5,16510,Corporate,1216,6080
C175,2024-01-30,Investment,Agent,EquityMax,9,19827,Individual,1113,10017
C038,2024-03-10,Banking,Agent,LoanX,3,9546,SME,1244,3732
C127,2025-02-19,Investment,Online,EquityMax,10,22180,Corporate,1113,11130
C148,2023-06-29,Banking,Online,CreditLine,16,13552,SME,1340,21440
C039,2023-11-04,Banking,Branch,SavingsPro,10,7820,Individual,1216,12160
C056,2023-04-27,Investment,Online,GrowthFund,3,7251,Individual,1077,3231
C263,2023-04-03,Banking,Branch,SavingsPro,6,3216,SME,1216,7296
C052,2023-04-01,Insurance,Agent,LifeSecure,9,19431,Corporate,1362,12258
C264,2023-05-10,Investment,Agent,EquityMax,13,29926,Individual,1113,14469
C248,2023-06-16,Banking,Online,LoanX,13,48204,Individual,1244,16172
C188,2024-02-19,Banking,Agent,SavingsPro,16,50432,Corporate,1216,19456
C279,2023-06-22,Banking,Agent,LoanX,19,64296,SME,1244,23636
C251,2025-04-03,Insurance,Agent,HealthPlus,1,2221,Individual,1493,1493
C068,2023-02-04,Insurance,Branch,TravelCare,19,44916,Individual,758,14402
C091,2024-05-06,Investment,Agent,GrowthFund,10,15100,Individual,1077,10770
C264,2023-04-22,Investment,Online,BondSafe,9,24165,SME,758,6822
C238,2023-01-12,Investment,Agent,EquityMax,1,822,Corporate,1113,1113
C157,2023-08-27,Banking,Online,SavingsPro,8,18752,SME,1216,9728
C222,2025-05-15,Banking,Agent,SavingsPro,10,33510,SME,1216,12160
C062,2023-05-03,Banking,Online,CreditLine,17,25585,Corporate,1340,22780
C294,2024-01-22,Investment,Agent,GrowthFund,2,2842,Individual,1077,2154
C143,2024-12-31,Insurance,Online,HealthPlus,4,4480,SME,1493,5972
C004,2023-10-20,Investment,Branch,EquityMax,9,5220,SME,1113,10017
C014,2024-07-22,Insurance,Online,LifeSecure,8,25632,Corporate,1362,10896
C131,2024-07-11,Banking,Online,LoanX,12,46380,SME,1244,14928
C114,2023-12-10,Insurance,Branch,TravelCare,5,9840,Corporate,758,3790
C106,2023-06-17,Banking,Online,SavingsPro,6,5370,Individual,1216,7296
C019,2024-01-04,Banking,Branch,CreditLine,6,3180,SME,1340,8040
C097,2023-01-08,Insurance,Agent,LifeSecure,6,9114,Individual,1362,8172
C074,2023-11-11,Banking,Branch,CreditLine,10,9420,Corporate,1340,13400
C246,2025-01-06,Insurance,Agent,HealthPlus,6,23856,Individual,1493,8958
C040,2025-01-15,Insurance,Branch,TravelCare,3,7200,Corporate,758,2274
C192,2023-04-13,Insurance,Agent,HealthPlus,5,7405,Individual,1493,7465
C157,2024-11-11,Insurance,Online,TravelCare,18,44424,Individual,758,13644
C200,2024-09-29,Investment,Online,GrowthFund,6,13566,Individual,1077,6462
C158,2024-04-24,Insurance,Online,TravelCare,18,43380,Individual,758,13644
C158,2023-10-09,Banking,Branch,CreditLine,20,50820,SME,1340,26800
C145,2024-12-01,Insurance,Online,HealthPlus,14,48118,SME,1493,20902
C053,2023-03-15,Investment,Agent,GrowthFund,12,12696,Individual,1077,12924
C223,2023-03-29,Investment,Online,EquityMax,3,7020,Corporate,1113,3339
C154,2023-05-17,Insurance,Agent,HealthPlus,20,15800,SME,1493,29860
C181,2024-07-03,Insurance,Agent,TravelCare,14,49224,Corporate,758,10612
C168,2024-04-15,Investment,Agent,EquityMax,20,52360,Individual,1113,22260
C196,2023-12-08,Insurance,Agent,TravelCare,3,8805,Corporate,758,2274
C095,2023-03-24,Banking,Online,LoanX,1,523,Individual,1244,1244
C099,2024-09-17,Banking,Online,SavingsPro,12,24384,Corporate,1216,14592
C119,2024-03-28,Investment,Agent,BondSafe,10,8150,Corporate,758,7580
C284,2024-08-25,Investment,Online,BondSafe,14,20412,SME,758,10612
C154,2024-01-26,Investment,Online,BondSafe,20,57160,Corporate,758,15160
C213,2023-01-02,Insurance,Online,LifeSecure,18,53910,Corporate,1362,24516
C281,2024-06-23,Banking,Branch,LoanX,18,39564,SME,1244,22392
C178,2025-03-11,Banking,Branch,CreditLine,4,11096,SME,1340,5360
C294,2025-03-02,Banking,Agent,SavingsPro,13,27521,SME,1216,15808
C132,2023-01-02,Banking,Branch,LoanX,19,54112,Corporate,1244,23636
C268,2024-01-19,Investment,Branch,GrowthFund,13,16536,Individual,1077,14001
C222,2023-09-25,Insurance,Online,HealthPlus,12,10656,SME,1493,17916
C232,2025-01-06,Insurance,Branch,LifeSecure,13,43290,SME,1362,17706
C225,2024-01-12,Investment,Branch,GrowthFund,12,38052,Individual,1077,12924
C138,2025-01-22,Banking,Online,SavingsPro,16,39840,Corporate,1216,19456
C051,2024-05-20,Investment,Online,GrowthFund,19,69046,Corporate,1077,20463
C192,2023-12-26,Banking,Branch,LoanX,8,13656,SME,1244,9952
C184,2024-09-10,Banking,Online,LoanX,12,27756,Corporate,1244,14928
C183,2023-02-12,Investment,Branch,BondSafe,15,38295,SME,758,11370
C045,2024-07-10,Investment,Online,BondSafe,5,10755,Corporate,758,3790
C199,2025-05-27,Insurance,Branch,LifeSecure,8,19808,SME,1362,10896
C175,2025-04-14,Investment,Online,GrowthFund,8,21752,Individual,1077,8616
C102,2024-04-16,Banking,Agent,LoanX,15,13725,SME,1244,18660
C261,2023-08-16,Insurance,Branch,LifeSecure,8,20032,Individual,1362,10896
C016,2023-02-19,Banking,Branch,SavingsPro,14,25634,Individual,1216,17024
C179,2024-01-31,Insurance,Branch,HealthPlus,5,15565,Individual,1493,7465
C103,2023-02-10,Investment,Agent,BondSafe,11,23166,Corporate,758,8338
C195,2023-09-20,Insurance,Agent,HealthPlus,12,38532,SME,1493,17916
C240,2023-04-01,Investment,Agent,GrowthFund,1,2356,Individual,1077,1077
C226,2023-06-28,Banking,Online,LoanX,10,32020,Individual,1244,12440
C261,2023-10-27,Investment,Online,EquityMax,19,18734,SME,1113,21147
C053,2023-12-29,Investment,Branch,BondSafe,17,19958,Corporate,758,12886
